[Source: English],[Target: Vietnamese],[Target: Finnish]
"word","từ","sana"
"a","a","a"
"flatterer","a dua","peijakas"
"maid","a hoàn","palvelija"
"opium","a phiến","opium"
"accomplice","a tòng","avunantaja"
"ah","à","ah"
"ah","ả","ah"
"courtesan","ả đào","kortesaani"
"ah","á","ah"
"speechless","á khẩu","puheeton"
"beauty queen","á khôi","kauneuskuningatar"
"runner-up","á kim","toinen sija"
"ah","ạ","ah"
"evil","ác","paha"
"antipathy","ác cảm","vihamielisyys"
"fierce battle","ác chiến","verinen taistelu"
"nightmare","ác mộng","painajainen"
"cruel","ác nghiệt","karmiva"
"evil cult","ác tà","paha kultti"
"malicious mind","ác tâm","paha-aikeinen"
"ferocious beast","ác thú","raivoisa olento"
"yoke","ách","kärry"
"stumble","ạch","törmätä"
"who","ai","kuka"
"everyone","ai ai","kaikki"
"lament","ai điếu","valittaa"
"grievance","ai oán","valitus"
"pass","ải","läpäistä"
"penal colony","ải quan","pakkotyöleiri"
"love","ái","rakkaus"
"affection","ái ân","lämmin tunne"
"ally","ái hữu","liittolainen"
"beloved","ái khanh","rakas"
"affection","ái lực","kiintymys"
"admiration","ái mộ","ihailu"
"bisexual","ái nam ái nữ","biseksuaali"
"reluctant","ái ngại","epäröivä"
"concubine","ái phi","keisarinna"
"patriotism","ái quốc","isänmaallisuus"
"love","ái tình","rakkaus"
"hermitage","am","luostari"
"understanding","am hiểu","ymmärrys"
"ampere","am pe","ampääri"
"gloomy","ảm đạm","sumuinen"
"dark","ám","tummahko"
"obsession","ám ảnh","pakkomielle"
"progress","tiễm duùc","edistys"
"fresh","tươi","tuore"
"market","chợ","markkina"
"fish","cá","kala"
"meat","thịt","liha"
"vegetables","rau","vihannekset"
"fruit","trái cây","hedelmä"
"price","giá","hinta"
"kilogram","ki-lô-gam","kilogramma"
"fresh fish","cá tươi","tuore kala"
"fresh meat","thịt tươi","tuore liha"
"farm","nông trại","maatila"
"produce","sản phẩm","tuote"
"organic","hữu cơ","luomua"
"juice","nước ép","mehu"
"sell","bán","myydä"
"buy","mua","ostaa"
"bargain","đàm phán","kaupata"
"cheap","rẻ","halpa"
"expensive","đắt","kalliina"
"quality","chất lượng","laatu"
"weight","cân","paino"
"scale","cân","vaaka"
"pack","bao","pakata"
"bag","túi","pussi"
"box","hộp","laatikko"
"shrimp","tôm","katkarapu"
"crab","cua","rapu"
"salmon","cá hồi","lohi"
"tuna","cá ngừ","tonnikala"
"sushi","sushi","sushi"
"rice","gạo","riisi"
"egg","trứng","muna"
"milk","sữa","maito"
"butter","bơ","voi"
"cheese","phô mai","juusto"
"honey","","hunaja"
